venue,innings,batting_team,bowling_team,tot,wickets
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26,4
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Punjab Kings,53,1
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Chennai Super Kings,56,1
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Daredevils,40,2
Arun Jaitley Stadium,2,Delhi Daredevils,Rajasthan Royals,55,1
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47,3
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40,1
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,39,2
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,26,3
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,54,1
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,53,3
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,25,2
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,44,1
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,52,2
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,52,2
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,57,2
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,73,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,56,1
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,39,2
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,57,2
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45,2
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,61,3
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,45,0
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,27,3
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,59,0
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Punjab Kings,45,3
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Delhi Daredevils,55,2
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,36,1
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,45,1
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40,3
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,38,3
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,58,1
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,55,3
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Punjab Kings,50,1
"Rajiv Gandhi International Stadium, Uppal",2,Punjab Kings,Deccan Chargers,41,1
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,45,1
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51,2
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Daredevils,47,1
MA Chidambaram Stadium,2,Delhi Daredevils,Chennai Super Kings,64,0
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41,0
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,43,1
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,49,1
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,31,4
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,50,2
Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,37,2
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,38,4
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,44,0
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,26,3
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,52,1
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,34,3
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,50,1
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,48,2
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,34,0
